Attendance_ID,Student_ID,Course_ID,Attendance_Date,Status
50001,1313,3025,2026-04-12,Present
50002,1226,3077,2026-04-12,Present
50003,1203,3035,2026-06-30,Present
50004,1400,3007,2026-03-07,Present
50005,1300,3041,2026-06-06,Present
50006,1103,3100,2026-05-12,Present
50007,1344,3086,2026-01-29,Present
50008,1125,3036,2026-01-23,Present
50009,1262,3004,2026-03-04,Absent
50010,1307,3036,2026-04-11,Present
50011,1059,3049,2026-01-13,Present
50012,1446,3005,2026-02-19,Present
50013,1288,3053,2026-03-11,Present
50014,1223,3077,2026-06-16,Present
50015,1059,3073,2026-02-01,Absent
50016,1095,3005,2026-06-03,Present
50017,1186,3043,2026-02-04,Present
50018,1221,3049,2026-01-15,Present
50019,1321,3083,2026-06-17,Present
50020,1046,3063,2026-02-04,Present
50021,1317,3079,2026-02-16,Present
50022,1387,3044,2026-05-01,Present
50023,1407,3066,2026-03-23,Present
50024,1256,3058,2026-01-16,Absent
50025,1334,3022,2026-03-19,Present
50026,1373,3079,2026-06-21,Present
50027,1219,3022,2026-05-19,Present
50028,1160,3044,2026-03-24,Present
50029,1357,3001,2026-06-09,Present
50030,1174,3093,2026-02-26,Present
50031,1142,3083,2026-04-25,Present
50032,1040,3054,2026-03-07,Present
50033,1292,3022,2026-04-30,Present
50034,1011,3001,2026-04-21,Present
50035,1439,3065,2026-02-21,Present
50036,1111,3034,2026-02-22,Absent
50037,1481,3080,2026-07-04,Present
50038,1043,3089,2026-05-12,Present
50039,1392,3036,2026-06-21,Absent
50040,1358,3080,2026-04-08,Present
50041,1205,3085,2026-06-04,Present
50042,1040,3009,2026-02-06,Present
50043,1382,3099,2026-02-17,Present
50044,1396,3040,2026-06-23,Present
50045,1454,3048,2026-05-19,Present
50046,1168,3076,2026-07-07,Present
50047,1408,3052,2026-04-24,Present
50048,1103,3090,2026-07-07,Present
50049,1212,3039,2026-02-10,Present
50050,1263,3076,2026-06-19,Present
50051,1040,3010,2026-03-05,Present
50052,1040,3001,2026-03-27,Present
50053,1158,3085,2026-03-12,Present
50054,1378,3028,2026-04-18,Present
50055,1484,3004,2026-04-30,Present
50056,1485,3099,2026-04-29,Present
50057,1340,3075,2026-01-27,Present
50058,1099,3026,2026-04-07,Present
50059,1476,3058,2026-04-03,Present
50060,1233,3047,2026-03-02,Present
50061,1124,3047,2026-03-12,Present
50062,1235,3054,2026-03-24,Present
50063,1407,3077,2026-06-01,Present
50064,1349,3038,2026-04-30,Present
50065,1001,3086,2026-03-24,Present
50066,1361,3092,2026-03-06,Present
50067,1356,3062,2026-04-25,Present
50068,1354,3073,2026-03-31,Present
50069,1449,3079,2026-02-24,Present
50070,1353,3024,2026-07-05,Absent
50071,1493,3049,2026-04-03,Absent
50072,1315,3030,2026-03-26,Present
50073,1247,3088,2026-01-14,Present
50074,1400,3073,2026-06-21,Absent
50075,1237,3074,2026-01-19,Present
50076,1217,3014,2026-04-06,Present
50077,1455,3057,2026-01-17,Present
50078,1135,3014,2026-06-11,Present
50079,1044,3001,2026-03-24,Present
50080,1294,3057,2026-03-19,Present
50081,1149,3083,2026-01-16,Present
50082,1275,3010,2026-05-22,Present
50083,1054,3091,2026-02-06,Present
50084,1199,3055,2026-05-17,Present
50085,1317,3071,2026-01-26,Present
