Issue_ID,Student_ID,Book_Name,Issue_Date,Return_Date,Fine
9001,1349,Financial Accounting,2025-09-06,2025-10-05,10
9002,1114,Business Analytics,2025-12-17,2025-12-22,0
9003,1117,Artificial Intelligence,2026-04-23,2026-05-03,10
9004,1170,Business Analytics,2026-03-21,2026-04-18,0
9005,1431,Business Analytics,2025-08-17,2025-09-04,0
9006,1219,Python Programming,2025-09-27,2025-10-25,0
9007,1243,Business Analytics,2025-10-23,2025-11-09,0
9008,1477,Machine Learning,2025-08-06,2025-08-25,0
9009,1476,Data Structures,2026-01-24,2026-02-14,0
9010,1077,Software Engineering,2026-01-16,2026-01-29,0
9011,1198,Database Management Systems,2025-07-27,2025-08-13,0
9012,1236,Financial Accounting,2026-03-22,2026-04-11,20
9013,1298,Data Structures,2026-02-09,2026-03-02,0
9014,1339,Marketing Management,2025-11-26,2025-12-03,0
9015,1275,Artificial Intelligence,2026-01-30,2026-02-28,0
9016,1436,Data Structures,2025-09-09,2025-10-05,0
9017,1457,Structural Analysis,2026-02-26,2026-03-28,0
9018,1098,Artificial Intelligence,2025-09-04,2025-09-14,20
9019,1206,Electrical Machines,2026-01-28,2026-02-06,0
9020,1313,Structural Analysis,2026-04-17,2026-05-06,0
9021,1392,Operating Systems,2025-10-22,2025-11-15,0
9022,1166,Electrical Machines,2026-06-21,2026-07-10,0
9023,1268,Computer Networks,2026-03-27,2026-04-05,20
9024,1120,Engineering Mathematics,2026-04-18,2026-05-08,10
9025,1205,Python Programming,2025-09-25,2025-10-13,0
9026,1317,Structural Analysis,2026-02-14,2026-02-21,0
9027,1057,Software Engineering,2025-08-04,2025-08-16,10
9028,1193,Thermodynamics,2025-10-03,2025-10-14,0
9029,1089,Database Management Systems,2025-08-29,2025-09-22,0
9030,1465,Database Management Systems,2025-11-08,2025-11-30,0
9031,1298,Artificial Intelligence,2026-06-07,2026-07-03,0
9032,1370,Software Engineering,2026-05-06,2026-05-15,10
9033,1292,Microprocessors,2026-04-29,2026-05-08,50
9034,1259,Machine Learning,2026-04-11,2026-04-30,0
9035,1126,Database Management Systems,2025-08-28,2025-09-23,0
9036,1353,Marketing Management,2025-12-20,2026-01-07,0
9037,1389,Operating Systems,2025-10-18,2025-10-28,0
9038,1215,Financial Accounting,2025-12-28,2026-01-08,0
9039,1455,Computer Networks,2026-04-02,2026-04-29,0
9040,1064,Database Management Systems,2026-05-02,2026-05-09,0
9041,1460,Fluid Mechanics,2025-12-09,2026-01-06,20
9042,1087,Engineering Mathematics,2025-10-14,2025-10-21,0
9043,1258,Cloud Computing,2025-08-28,2025-09-27,0
9044,1009,Python Programming,2026-06-06,2026-06-17,0
9045,1219,Data Structures,2025-08-01,2025-08-13,10
9046,1055,Digital Electronics,2026-07-02,2026-08-01,0
9047,1131,Structural Analysis,2026-04-15,2026-04-20,0
9048,1200,Software Engineering,2025-07-16,2025-08-07,0
9049,1252,Business Analytics,2026-04-14,2026-04-25,20
9050,1149,Operating Systems,2025-07-13,2025-08-03,0
9051,1330,Marketing Management,2026-05-10,2026-06-07,20
9052,1340,Business Analytics,2026-06-23,2026-07-18,10
9053,1365,Marketing Management,2026-03-19,2026-04-06,0
9054,1380,Microprocessors,2025-12-07,2026-01-06,20
9055,1302,Microprocessors,2026-03-03,2026-03-23,100
9056,1022,Cloud Computing,2025-07-27,2025-08-08,0
9057,1270,Microprocessors,2026-03-12,2026-04-05,0
9058,1093,Business Analytics,2025-10-25,2025-11-08,0
9059,1418,Software Engineering,2026-06-22,2026-07-01,0
9060,1082,Computer Networks,2026-02-05,2026-03-05,0
9061,1368,Structural Analysis,2025-12-07,2025-12-20,0
9062,1164,Financial Accounting,2025-08-12,2025-09-06,100
9063,1189,Computer Networks,2026-01-06,2026-01-29,0
9064,1053,Business Analytics,2026-05-01,2026-05-29,10
9065,1244,Electrical Machines,2025-12-12,2025-12-27,0
9066,1010,Electrical Machines,2026-03-16,2026-04-10,100
9067,1113,Artificial Intelligence,2026-01-16,2026-02-07,0
9068,1037,Software Engineering,2025-10-11,2025-10-19,0
9069,1331,Python Programming,2026-02-05,2026-02-21,0
9070,1176,Financial Accounting,2026-05-08,2026-05-26,0
9071,1244,Data Structures,2025-09-13,2025-09-24,0
9072,1044,Business Analytics,2026-05-16,2026-06-05,100
9073,1223,Structural Analysis,2025-10-23,2025-10-28,0
9074,1454,Software Engineering,2025-10-18,2025-11-05,0
9075,1078,Business Analytics,2025-08-02,2025-08-16,0
9076,1354,Business Analytics,2025-12-19,2026-01-16,0
9077,1084,Financial Accounting,2025-12-05,2025-12-31,0
9078,1179,Python Programming,2025-12-10,2026-01-01,0
9079,1175,Artificial Intelligence,2025-10-31,2025-11-10,10
9080,1314,Software Engineering,2026-05-30,2026-06-18,0
9081,1471,Structural Analysis,2026-01-09,2026-01-28,0
9082,1001,Software Engineering,2025-11-13,2025-11-21,0
9083,1103,Engineering Mathematics,2026-05-10,2026-05-21,0
9084,1001,Electrical Machines,2025-09-13,2025-10-05,100
9085,1175,Data Structures,2026-03-18,2026-03-23,100
9086,1001,Engineering Mathematics,2026-01-08,2026-01-29,0
9087,1462,Computer Networks,2026-05-29,2026-06-16,0
9088,1052,Thermodynamics,2025-12-15,2026-01-01,0
9089,1351,Thermodynamics,2026-03-06,2026-03-16,0
9090,1219,Database Management Systems,2026-03-12,2026-04-06,0
9091,1409,Python Programming,2026-01-02,2026-01-12,0
9092,1193,Fluid Mechanics,2025-11-27,2025-12-23,0
9093,1157,Computer Networks,2025-10-19,2025-11-16,10
